# Testing data
0.0000	1.0000
0.1282	0.9428
0.2565	0.8278
0.3847	0.6652
0.5129	0.4679
0.6411	0.2503
0.7694	0.0275
0.8976	-0.1860
1.0258	-0.3767
1.1541	-0.5337
1.2823	-0.6485
1.4105	-0.7158
1.5387	-0.7336
1.6670	-0.7033
1.7952	-0.6292
1.9234	-0.5183
2.0517	-0.3796
2.1799	-0.2233
2.3081	-0.0605
2.4363	0.0980
2.5646	0.2424
2.6928	0.3639
2.8210	0.4559
2.9493	0.5139
3.0775	0.5359
3.2057	0.5224
3.3339	0.4758
3.4622	0.4010
3.5904	0.3041
3.7186	0.1924
3.8468	0.0739
3.9751	-0.0434
4.1033	-0.1520
4.2315	-0.2454
4.3598	-0.3184
4.4880	-0.3672
4.6162	-0.3899
4.7444	-0.3864
4.8727	-0.3581
5.0009	-0.3083
5.1291	-0.2410
5.2574	-0.1616
5.3856	-0.0758
5.5138	0.0106
5.6420	0.0921
5.7703	0.1635
5.8985	0.2208
6.0267	0.2610
6.1550	0.2825
6.2832	0.2846
# End of data
